127.0.0.1 - - [27/Apr/2024:10:11:04 +0545] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [27/Apr/2024:10:11:04 +0545] "GET /Java_Project/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2024:10:11:04 +0545] "GET /Java_Project/loginStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2024:10:11:04 +0545] "GET /Java_Project/indexStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2024:10:11:04 +0545] "GET /Java_Project/robot.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2024:10:11:04 +0545] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [27/Apr/2024:10:11:10 +0545] "GET /Java_Project/login.jsp HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [27/Apr/2024:10:11:48 +0545] "POST /Java_Project/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2024:10:11:48 +0545] "GET /Java_Project/welcome.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [27/Apr/2024:10:11:58 +0545] "POST /Java_Project/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2024:10:11:58 +0545] "GET /Java_Project/login.jsp?error=1 HTTP/1.1" 200 1010
0:0:0:0:0:0:0:1 - - [27/Apr/2024:10:12:57 +0545] "POST /Java_Project/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2024:10:12:57 +0545] "GET /Java_Project/welcome.jsp HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [27/Apr/2024:10:35:38 +0545] "GET /Java_Project/welcome.jsp HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [27/Apr/2024:10:37:51 +0545] "GET /Java_Project/login.jsp HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [27/Apr/2024:10:38:01 +0545] "GET /Java_Project/welcome.jsp HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [27/Apr/2024:10:42:10 +0545] "GET /Java_Project/welcome.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [27/Apr/2024:10:42:12 +0545] "GET /Java_Project/welcome.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [27/Apr/2024:10:42:12 +0545] "GET /Java_Project/welcome.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [27/Apr/2024:10:42:12 +0545] "GET /Java_Project/welcome.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [27/Apr/2024:10:42:21 +0545] "POST /Java_Project/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2024:10:42:21 +0545] "GET /Java_Project/login.jsp?error=1 HTTP/1.1" 200 1010
